INFO:root:	File Read -> prog1.y86
INFO:root:		.size Directive
INFO:root:			Memory Size Set to: 4096
INFO:root:		.text Directive
INFO:root:			Initial Instruction Pointer Set to: 0
INFO:root:			Instructions Read
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
INFO:root:		.byte Directive
